Capa;Bibliotecas;Tipo;Título;Autor;Edição;Ano
Biblioteca Central;Livro;Programming python;Lutz, Mark;1996
Biblioteca Central;Livro;Pense em Python : pense como um cientista da computação;Downey, Allen B;2016
Repositório Institucional;Artigo;Módulo Python para matemática intervalar;Barboza, Luciano Vitória Dimuro, Graçaliz Pereira Grigoletti, Pablo Souza;2007
Biblioteca Central;Livro;Internet programming with python;Watters, Aaron;1996 
Biblioteca Central;Livro;Numerical methods in engineering with Python;Kiusalaas, Jaan;2010
Biblioteca Central;Livro;Programação em Python 3 : uma introdução completa à linguagem Python;Summerfield, Mark;2013
